stemmed,sentiment,labeling,filtered
bacot kentot tumben baca komentar benci yg faedah kwkwkwk,-1,kasar,bacot tumben
bacot ngentot,-1,kasar,bacot ngentot
bacot kentot,-1,kasar,bacot
bacota habis nonton buang,1,tidak kasar,
bacottt luh erick kontol asti bocah pke poto fake bnyk yg cyduk pas datengin eh bocah laknat,1,kasar,kontol
bacottt tai nonton taik si simple,1,kasar,tai
bacotttttttttttttt,1,tidak kasar,
abang tampan goblok,-1,kasar,goblok
like dislike,1,tidak kasar,
bagas darmawan event youtuber dikit indo,1,tidak kasar,
bagas subscribe plis,1,tidak kasar,
akir video tujuh subscribe channel main franco saing skill hook wolf xotik,1,tidak kasar,
saudara iman trash talking toxicnya erick ikutin,1,tidak kasar,
bahahahahaha tertawa,1,tidak kasar,
bahasa kaya qorygore,1,tidak kasar,
bahaya anak umur nonton ericko lim auto toxic faedah berani yg nonton video erickontoru pake speaker ortu udah sita,1,tidak kasar,
youtuber yg bocah ikud komentar sok asik video jilat bilang sok yee iya,1,tidak kasar,
video bang hilangin ajar benci lihat elu d video sisip yg tdak layak d dengar orang,1,tidak kasar,
bait si laurentius randog,1,tidak kasar,
baju eric baju dwp njir,1,tidak kasar,
reply aama baca bro butuh duit instant gitu toxic,1,tidak kasar,
bakteri e coli,1,tidak kasar,
baku hantam,1,tidak kasar,
bales mas diem depok belah,1,tidak kasar,
balesannya pro ea,1,tidak kasar,
intro anjing,1,kasar,anjing
intro kontol,1,kasar,kontol
ban skin ciclop ban ama alucar viscont,1,tidak kasar,
bando anjay,1,tidak kasar,
bang,1,tidak kasar,
bang,1,tidak kasar,
bang adu panco kalah putusin cewenya,1,tidak kasar,
bang agama liat video lambang illuminati illuminati lambang sembah setan ka,-1,kasar,setan
bang benci biar kaya gaa,1,tidak kasar,
bang haters kasi lope,1,tidak kasar,
bang neng konten hibur kekkamudri pda konten didik hibur,-1,tidak kasar,
bang saran youtube video kasar jijik anak th niruin laku youtube,1,tidak kasar,
bang temen banget asli kirim dah dm kwkwters ksih tau,1,tidak kasar,
bang saran bang isiin tulis pas opening,1,tidak kasar,
bang skip iklan bang yg habis kuota yg kaya yaa anjingng,1,tidak kasar,
bang support abang iklan nonton sampe selesai,1,tidak kasar,
bang tau bahasa sopan ngapa pake,1,tidak kasar,
bang atta palu nggasemua anjing ngcorygore,1,kasar,anjing
bang ayooo konten main pb lg toxic lg pb,1,tidak kasar,
bang baca elu channel lucu kadang hibur kali garing slalu tonton bang iklan kagak skip sukses ngadain give away gitu yaw,1,tidak kasar,
bang baca komentar,1,tidak kasar,
bang ketemu reza arap youtube rewend,1,tidak kasar,
bang bahasa jqga,1,tidak kasar,
bang balikin filthy rickz,1,tidak kasar,
bang bang bang bang bang bang bang bang bang bang bang bang ned nod,1,tidak kasar,
bang bang cuekin udhkamumendingan soap king dahh,1,tidak kasar,
bang berani bilang putus pacar orang ntrokamulegendaris anjingng,1,tidak kasar,
bang challenge ng c k liat foto jesnolimit,1,tidak kasar,
bang draw my life,1,tidak kasar,
bang filthyrickz,1,tidak kasar,
bang frank seru dah,1,tidak kasar,
bang kompilasi ketawa jahat tertawa asli,1,tidak kasar,
bang konten game lg saran doang si,1,tidak kasar,
bang konten cepat sabar nonton laku toxic abang goodjob fideonya,1,tidak kasar,
bang konten ngewe ama pacar biar gregett,-1,kasar,ngewe
bang konten point blank lgi donk,1,tidak kasar,
bang lagu,1,tidak kasar,
bang lagu,1,tidak kasar,
bang ome tv,1,tidak kasar,
bang prank teriak wikk wikk ah ah ah tmoat wkwk,1,tidak kasar,
bang prank bom,1,tidak kasar,
bang rap paket hat komentar tujuh like,1,tidak kasar,
bang review mobilkamudong bang,1,tidak kasar,
bang tutorial main lee sin,1,tidak kasar,
bang video challange toxic,1,tidak kasar,
bang video yg iklan,1,tidak kasar,
bang videotentang susahkamudong bang,1,tidak kasar,
bang vlog konyol,1,tidak kasar,
bang toxic,1,tidak kasar,
bang ubah sikapnyaa yah chanel kembang,1,tidak kasar,
bang bkin lagu komentar haters donk wkwk gpp wlaupun toxic smuaa,1,tidak kasar,
bang bkinin yg part ii bang,1,tidak kasar,
bang bli subscribe,1,tidak kasar,
bang botak payah,1,tidak kasar,
bang botak pless,1,tidak kasar,
bang draw my life,1,tidak kasar,
bang benci part y plisa,1,tidak kasar,
bang internet personality,1,tidak kasar,
bang lagu komentar benci bang biar adsens,1,tidak kasar,
bang lebel samping video r bo remaja bimbing orang tua biar anak anak nonton biar lucu hahahaha,1,tidak kasar,
bang pink guy ngakek nonton video pas pink guy,1,tidak kasar,
bang prank pliss tujuh like,1,tidak kasar,
bang video plisss,1,tidak kasar,
bang video main lol,1,tidak kasar,
bang video prank hey tayo,1,tidak kasar,
bang videomakan roti pakai sperma bang,1,tidak kasar,
bang buatin tutorial move on,1,tidak kasar,
bang bunuh arap wkwkwkwk tod,1,tidak kasar,
bang cahwiguna youtube,1,tidak kasar,
bang channelkamuyang maap bang channel anggap remeh selamat bang abang udah yutubers yutube rewind selamat bang dylan pros bang michaelsow bang kapten liong bang selamat abang,-1,tidak kasar,
bang coba kasih tantang cakap kotor toxic,1,tidak kasar,
bang coba chanell elo toxic,1,tidak kasar,
bang coba konten islam konten eksperimen dengar al quran,1,tidak kasar,
bang coba cicipin peju penasaran,1,tidak kasar,
bang coba coli,1,tidak kasar,
bang coba donk reaction kakek legend mesum hahah yg tuju like okk,1,tidak kasar,
bang coba flog masuk greja,1,tidak kasar,
bang coba potong rambut psti cool enak pandang gitu gmau nnton bang jing,-1,tidak kasar,
bang cobakamujangan sombong so tampan benci fans lo,1,tidak kasar,
bang coba main minecraft kocak plus tular toxic ny erick,1,tidak kasar,
bang colab ama nyokap lu,1,tidak kasar,
bang colab anak zeus,1,tidak kasar,
bang colab corygore subscribe channel main franco saing skill hook wolf xotik,1,tidak kasar,
bang colab qorygore,1,tidak kasar,
bang coli,1,tidak kasar,
bang collab ma bang leokoce,1,tidak kasar,
bang collab arap bang,1,tidak kasar,
bang collab kim hime la wkwkwkwkwk,1,tidak kasar,
bang collab rap bang ih,1,tidak kasar,
bang cover lagu thailand,1,tidak kasar,
bang cover lagu wik wik wik wik wik ah ah ah ah ah ay saaahh cewek bang tunggu video,1,kasar,tunggu
bang dah hamilin cwe bang,1,tidak kasar,
bang dajjal mage tank,1,tidak kasar,
bang dateng pensi oktober tunggu krhadirannya,1,kasar,tunggu
bang botak bn,1,tidak kasar,
bang dicariin lucifer,1,tidak kasar,
bang diw nonton goblok,-1,kasar,goblok
bang eric konten pacar seru,1,tidak kasar,
bang eric toxic dapet juta subscribe fans yg tunda,1,tidak kasar,
bang eric so good viewers biarin bang duit lancar ten upnormal,1,tidak kasar,
bang eric w nitip wa yak,1,tidak kasar,
bang erick ngomong saru,1,tidak kasar,
bang erick vdio tutor col bangsat,1,kasar,bangsat
bang erick collab ama bang qorry,1,tidak kasar,
bang erick iklan chanel aplikasi goblok,-1,kasar,goblok
bang erick juta subscribe potong rambut botak awkwk yutub subscribe bang ketemu foto rumh,1,tidak kasar,
bang erick ngelakuin konyol malu gais beda yaudah nikmat mayan bahan colmek ceue ceue,1,tidak kasar,
bang ericko agama pa y aaa,1,tidak kasar,
bang ericko fans abang,1,tidak kasar,
bang ericko tau warnain rambut selesai duit mw warna abu gitu,1,tidak kasar,
bang ericko lim biar hatersmu rim berkah bang wkwkw mantab tertawa liat videoini semngat bang,1,tidak kasar,
bang ericko lim iphone,1,tidak kasar,
bang ericko tetep ngefans abang ndak ndengerin benci yg sadis tujuh abang mnghibur moga sukses,1,tidak kasar,
bang erickolim lg donk nonton lucu anjir bangsat suka ngapaon tonton kentot bang ericko tuju ngehibur tod ngapainkamusubscribe gasuka ama konten bangsat kena trigger dah,-1,kasar,anjir bangsat bangsat
bang erickolim jalan setan aje bang peduli orang orang idiot,-1,kasar,setan idiot
bang erico lim video,1,tidak kasar,
bang erico kocak,1,tidak kasar,
bang ericolim salah subscriber fans bang,1,tidak kasar,
bang ericontolim makan pejuh kim himme kwkwkw,1,tidak kasar,
bang erik ayo mabar pubg,1,tidak kasar,
bang erik asik gituuu goblok haters,-1,kasar,goblok
bang erik iri ama melet lu,1,tidak kasar,
bang erik gantenng,1,tidak kasar,
bang erik benci mh diemin ae yg semangat bang youtube,1,tidak kasar,
bang erik main pb bang gemar kangen bang,1,tidak kasar,
bang erik main pb bang gemar kangen bang,1,tidak kasar,
bang erik gila youtubekamulu ngehate boi please butuh duit cuman elu doang ngntot kerja elu bacot tingkat slb,-1,kasar,gila bacot
bang eriko ngomong toxic kangen toxic ankamubangin,1,tidak kasar,
bang g react tik tod lg,1,tidak kasar,
bang lagu diss benci,1,tidak kasar,
bang mikirin benci yg suportkamubang,1,tidak kasar,
bang gampang banget benci lu,1,tidak kasar,
bang ganti semir rambut elu donk msk x yg lh,1,tidak kasar,
bang gara gara teman toxic banyan toxic,1,tidak kasar,
bang gara sekolah w,1,tidak kasar,
bang gebetan pacar ama temen ni,1,tidak kasar,
bang bantukamubikin konten riding komentar heter,1,tidak kasar,
bang dukung lahir sampe surga,1,tidak kasar,
bang fans lo,1,tidak kasar,
bang haterslu,1,tidak kasar,
bang jilat sepatu makan daun bully,-1,tidak kasar,
bang dh subscibe tanda merah wahkamuboongkamubang,1,tidak kasar,
bang kangen main pb lgi,1,tidak kasar,
bang kemarin makan sumpit pake bubur,1,tidak kasar,
bang kilk subscribe x,1,tidak kasar,
bang klik subscribenya kali,1,tidak kasar,
bang indomaret nitip,1,tidak kasar,
bang haterskamutapi bingung,-1,tidak kasar,
bang jdi murid didikkamunjing,1,tidak kasar,
bang kasih rahasia,1,tidak kasar,
bang nanya samakamutolong kepo banget nikamusering ngomong anak kampang ciri khas orang lampung apakamuada turun orang lampung,-1,kasar,kampang
bang mencet tombol subscribe pause vidionya,1,tidak kasar,
bang muslim jdi pake toxic bales jwabah tdi antem goblok,-1,kasar,goblok
bang ngak skip iklan lu,1,tidak kasar,
bang nontonnya iklan mulu bngst wkwkw,1,tidak kasar,
bang nungguinkamubkin konten milf,1,tidak kasar,
bang saran ni chenel khusus biar anak ngeliat,1,tidak kasar,
bang selau dukung lu,1,tidak kasar,
bang suka ngejek erickontolim bang tetep suka ama bang,1,tidak kasar,
bang masuk benci elu pens samakamubang karya bang,-1,tidak kasar,
bang tetep gemar donk,1,tidak kasar,
bang udah detik gabisa subscribe tambahin menit gitu,1,tidak kasar,
bang udah unsubcribe,1,tidak kasar,
bang challenge,1,tidak kasar,
bang bocah ni bolah hate komentar gx biar yg buly subsciberkamuwkwkw,1,tidak kasar,
bang mao bilang tdi adsense skip nonton ampe habis,1,tidak kasar,
bang laper,1,tidak kasar,
bang suportkamucuma koreksi darikamucuma katakamuaja halus dikit,1,tidak kasar,
bang haterskamutapi ken bilang vagina,-1,tidak kasar,
bang cewe hode kotor,-1,tidak kasar,
bang dh subscribe channelkamutapi x pernahkamulike kasi emot comment u but its,-1,tidak kasar,
bang chanel youtube,1,tidak kasar,
bang nanya kokkamungebet banget juta subscribe emnk knp bang,1,tidak kasar,
bang nanyakamunge fans bang arap,1,tidak kasar,
bang nanyak,1,tidak kasar,
bang nonton mlm cerah,1,tidak kasar,
bang nonton videokamusambil boker alhasil tai lancar,-1,kasar,boker tai
bang saraninkamuhapus channel aj wkwkwq nyindir yaa,1,tidak kasar,
bang nonton elu konten yg mabok macem bang konten yg gila goblk tolol gpp bang seru ketawa and semangat hidup wkkwkwk canda,-1,kasar,gila tolol
bang gemar tulang,1,tidak kasar,
bang udah klik subscribe selesai klik,1,tidak kasar,
bang udah subkamutapikamusuruh subscribe,-1,tidak kasar,
bang hapus chanel bang,1,tidak kasar,
bang hapus tato plzzz,1,tidak kasar,
bang kasih lagu yg hipokrit bang l jir,1,tidak kasar,
bang hate comment,1,tidak kasar,
bang benci benci jd jahat,1,tidak kasar,
bang benci goblok yg byk duit byk benci hapus cenel tertawa,-1,kasar,goblok
bang i love youu,1,tidak kasar,
bang iklan goha dtk skip,1,tidak kasar,
bang iklan yg skiip,1,tidak kasar,
bang inget arjun sanjaya,1,tidak kasar,
bang intro pake wik wik wiknitin gitun bayak views abang icko masuk trending,1,tidak kasar,
bang isis teroris salah paham,1,tidak kasar,
bang orang ngechat hate ngak modal video ngatain,1,tidak kasar,
bang haters kbanyakan nonton kgak pke mkir ujung konten jga nonton,1,tidak kasar,
bang islam,1,tidak kasar,
bang sasuke laah rambut udah tu,1,tidak kasar,
bang janagn laden benci karya,1,tidak kasar,
bang toxic kena azab sinetron mnctv,1,tidak kasar,
bang dengerin benci,1,tidak kasar,
bang upload youtube rewindnya,1,tidak kasar,
bang nang bang,1,tidak kasar,
bang ngomong jorok jijik,1,tidak kasar,
bang toxic bang anak nonton hatdehhh,1,tidak kasar,
bang toxic dh janji toxic,1,tidak kasar,
bang juta live coli wkkw,1,tidak kasar,
bang juta subkamuco pake balsem geliga,1,tidak kasar,
bang juta subscriber grebek rumah johnny sins biar rame gitu sensasi,1,tidak kasar,
bang juta subscriber minum p ju,1,tidak kasar,
bang juta subcriber give way lonte hehe,-1,kasar,lonte
bang kak audy knpa jarang videobang,1,tidak kasar,
bang kakak kelas,1,tidak kasar,
bang dah juta donasiin,1,tidak kasar,
bang benci balas gin bngsd tampol,1,tidak kasar,
bang makan kadal hidup subscribe,1,tidak kasar,
bang nnton video skip iklan subscribe masuk fans benci,1,tidak kasar,
bang saran tulis video,1,tidak kasar,
bang video yg nyangkut benci bang wkwk,1,tidak kasar,
bang tau cita citakamuitu yak,1,tidak kasar,
bang juta challenge orang jess no limit botak,1,tidak kasar,
bang collab kim hime viewrs,1,tidak kasar,
bang vlog gaming free fire biar pesona gitu wkwkaters,1,tidak kasar,
bang coli pake tangan kiri,1,tidak kasar,
bang dekil ane klik subscribe x semangat ngegasnya,1,tidak kasar,
bang diss pliss kasih balas orang gila link,-1,kasar,gila
bang motivasi,1,tidak kasar,
bang edit gila rando bang wkwkwk,-1,kasar,gila
bang goblok,1,kasar,goblok
bang iklan,1,tidak kasar,
bang toxic cuman yutup,1,tidak kasar,
bang papa tamper pas gbk,1,tidak kasar,
bang pinter asli,1,tidak kasar,
bang video yg faedah bang biar subscriber dannnn jomblo,1,tidak kasar,
bang subsback w,1,tidak kasar,
bang si joji,1,tidak kasar,
bang pacar kim hime haha,1,tidak kasar,
bang suruh un subscribe subscribe abang abang makan teman abang makan yg bilang pikir kali bos,1,tidak kasar,
bang kangen opening dora bang,1,tidak kasar,
bang botak,1,tidak kasar,
bang challenge makan jemb t,1,tidak kasar,
bang vlog mars,1,tidak kasar,
bang bandung,1,tidak kasar,
bang kentot kimmy him him,1,tidak kasar,
bang kolab ama nyokap,1,tidak kasar,
bang maen pb lg bang,1,tidak kasar,
bang main pb bang,1,tidak kasar,
bang botak nyaaa,1,tidak kasar,
bang live streaming udah pingin liat live,1,tidak kasar,
bang nikah,1,tidak kasar,
bang verified,1,tidak kasar,
bang kasih tau bocor youtube rewind bang,1,tidak kasar,
bang botak juta subscribe,1,tidak kasar,
bang renti toxic ngomong kotor,1,tidak kasar,
bang nya subskamuheters,1,tidak kasar,
bang jimat,1,tidak kasar,
bang keep it up orang ngeliat sisi buruk doang sebner tau,1,tidak kasar,
bang kembang cenel bang,1,tidak kasar,
bang upload,1,tidak kasar,
bang haterskamudaftar duit,1,tidak kasar,
bang knp youtuber ngomong lupa subribe lupa napa,1,tidak kasar,
bang kokamuganteng,1,tidak kasar,
bang mukakamukae kntlonk erikontoruu,1,tidak kasar,
bang chandra liow nggk ad youtube rewind,1,tidak kasar,
bang youtube rewind skinny,1,tidak kasar,
bang cewek asik,1,tidak kasar,
bang ad ody asikk hard pray hard lim,1,tidak kasar,
bang iklan bang,1,tidak kasar,
bang hati kuat dikatain putus hati,1,tidak kasar,
bang iklan kondom,1,tidak kasar,
bang lidah,1,tidak kasar,
bang kokkamukerad yak,1,tidak kasar,
bang subcriberkamugoblok,-1,tidak kasar,
bang youtube rewind ajak qorygore bang,1,tidak kasar,
bang kolab bang pacarkamumaen teken,1,tidak kasar,
bang ktanya juta subscribe,1,tidak kasar,
bang rangin toxic subscribe,1,tidak kasar,
bang kali konten bayank bacot,-1,kasar,bacot
bang laurentius rando youtube rewind,1,tidak kasar,
bang milih jess no limit dleyn pross jago mohon,1,tidak kasar,
bang lianteey,1,tidak kasar,
bang liat tetek kak kim hime please,1,tidak kasar,
bang like baaaaaaaaaang,1,tidak kasar,
bang like komentar napa,1,tidak kasar,
bangkamuberubah anak yg nonton,1,tidak kasar,
bangkamuganteng parah sbb kak ody maukamuowhh iya package cm horny cewe udah subscribe kak ody ama erickolim,1,tidak kasar,
bangkamukg kursi gaming,1,tidak kasar,
bangkamuorang palembang,1,tidak kasar,
bangkamupenerus si joji,1,tidak kasar,
bang love bang,1,tidak kasar,
bangkamucoli kali,1,tidak kasar,
bangkamugans bed,1,tidak kasar,
bangkamuganteng,1,tidak kasar,
bangkamuitu tampan banget joni yg sensor emang gausah dipikirin omong si botak seru coeg,1,tidak kasar,
bangkamukok toxic cuman yutup,1,tidak kasar,
bangkamulucu,1,tidak kasar,
bangkamungefans youtuber bang fanskamujuga jdi kyak lu,1,tidak kasar,
bangkamungikutin gaya filthyfrank,1,tidak kasar,
bangkamusiapa kenal anyingggg,1,tidak kasar,
bang maap ni bagus abang ngasih yg ngk faedah gin indonesia maju gin bang abg bilang cakap kotor ngk bagus ank umur nontonkamunanti ngikut bang maksud ala bilangin san gin indonesia maju yg nonton ngikutin yg ngk faedah,-1,tidak kasar,
bang mabar ml ama kim hime,1,tidak kasar,
bang mabar yo pubg,1,tidak kasar,
bang main ff,1,tidak kasar,
bang main fortnite bang biar kaya ra your e,1,tidak kasar,
bang main getting over it,1,tidak kasar,
bang main pb bang,1,tidak kasar,
bang main point blank,1,tidak kasar,
bang main pubg mobile,1,tidak kasar,
bang maju yaa kadang contentkamuaga jiji bnr omongankamukalo orang otak fikiran us,1,tidak kasar,
bang makan kondom,1,tidak kasar,
bang gila,-1,kasar,gila
bang intro,1,tidak kasar,
bang tembak awkarin janji k subscribe,1,tidak kasar,
bang mantan luh,1,tidak kasar,
bang masak masak,1,tidak kasar,
bang masukin komenan you tube wkwkwk,1,tidak kasar,
bang matiin ads cent,1,tidak kasar,
bang mendingkamusispackin badan tampan deh,1,tidak kasar,
bang duit,1,tidak kasar,
bang psn id,1,tidak kasar,
bang mpl surabaya,1,tidak kasar,
bang muka eluuu hasil poto kopi uya kuya hhh,1,tidak kasar,
bang muka tampan ajak ketemu kicep benci jaman lemah,1,tidak kasar,
bang mukakamuganteng,1,tidak kasar,
bang mukalu pas liatkamumasih main pb sampe skrng gitu baee tamnah kaya kontol,1,kasar,kontol
bang mukbang bulu ketek bang wkwkwk,1,tidak kasar,
bang napa upload lgi we kangen,1,tidak kasar,
bang react meme kirim gemar,1,tidak kasar,
bang kentot ama,1,tidak kasar,
bang ngomong kontol jam,1,kasar,kontol
bang ngomong ngomong yt riwand,1,tidak kasar,
bang nikah kim himi,1,tidak kasar,
bang nonton kocak parah,1,tidak kasar,
bang ome tv lg bng yg tujuh like njing,1,tidak kasar,
bang omong jorok rangin,1,tidak kasar,
bang open meet and greet alun alun kota serang donk,1,tidak kasar,
bang otongmu cm,1,tidak kasar,
bang permisi,1,tidak kasar,
bang pikir anak papa papa makan jembut coba,-1,kasar,jembut
bang please bantu channel,1,tidak kasar,
bang plis kau grepe si ody,1,tidak kasar,
bang ps bahas globalisasi,1,tidak kasar,
bang pubg pro,1,tidak kasar,
bang qory masuk yt rewind,1,tidak kasar,
bang qorygore dewa non human,1,tidak kasar,
bang rando yutub riwen bang,1,tidak kasar,
bang randokamuajak ytrewind,1,tidak kasar,
bang review videomli,1,tidak kasar,
bang rewind gazell,1,tidak kasar,
bang rick teriak ngomong kotor kedengeran ama yg ruang belah,1,tidak kasar,
bang riection lagu tai tai tai tai tai tai tai thailand yg virall lagu lumayan toxic hahahah tuju like,-1,kasar,tai tai tai tai tai tai tai
bang erick,1,tidak kasar,
bang erick victory xd video,1,tidak kasar,
bang riko ngapain pikir heatres yg abng udah youtuber kerja yg bulu karir abng,1,tidak kasar,
